# mean, standard deviation
2.095828195741499712e+03,3.311399012539186781e+00
2.095884222908000538e+03,3.284911944239385040e+00
2.095999746226500520e+03,3.196830449506285365e+00
2.096110912663000363e+03,3.073552453147446073e+00
2.096215184759500062e+03,2.996279890350832087e+00
2.096310502540499783e+03,2.953571728846033473e+00
2.096437770486499176e+03,2.842719034077426432e+00
2.096529244444000142e+03,2.754378582112530172e+00
2.096614110037000046e+03,2.675096027236896212e+00
2.096722322859500309e+03,2.595605601756345138e+00
2.096900796155000535e+03,2.365315828889045680e+00
2.097022710099500273e+03,2.273451113488515141e+00
2.097133361802000763e+03,2.190035503341746459e+00
2.097230445940499976e+03,2.069365931528889480e+00
2.097334069295000063e+03,2.014055092301244354e+00
2.097411450437500207e+03,1.994370651422344709e+00
2.097538606231500125e+03,1.858117716660671492e+00
2.097603665817499405e+03,1.831097647898902725e+00
2.097636005749000105e+03,1.833083938113883926e+00
2.097720487492500069e+03,1.786433950943694837e+00
2.097803089849500338e+03,1.772792102700437633e+00
2.097913094971500868e+03,1.687859747969710611e+00
2.097960030669999924e+03,1.676664253824422302e+00
2.097993689893500232e+03,1.666706407970114823e+00
2.098056268497500241e+03,1.645421050037749744e+00
2.098145809450000343e+03,1.564101850416667050e+00
2.098200417885999741e+03,1.551555368101618759e+00
2.098261734182000509e+03,1.547125360078411616e+00
2.098310674488000132e+03,1.504010972787525935e+00
2.098374240912500227e+03,1.501548549707733216e+00
2.098448440180499801e+03,1.494609224213579779e+00
2.098484500741499687e+03,1.480832108941396719e+00
2.098533826891999979e+03,1.485685107223315038e+00
2.098587749724000332e+03,1.482352898214894132e+00
2.098659934315000100e+03,1.484945337701894186e+00
2.098728031515000112e+03,1.463596491219219864e+00
2.098785018009500163e+03,1.457925980581365133e+00
2.098823392490000515e+03,1.454719917070647961e+00
2.098861677293500179e+03,1.457302088507440363e+00
2.098914999999999964e+03,1.448197155086274224e+00
2.098953044809999938e+03,1.407322669825472383e+00
2.099011080754999966e+03,1.403791644906842828e+00
2.099070182177500101e+03,1.358845407011777695e+00
2.099123094998999932e+03,1.370475492419926278e+00
2.099196379012500074e+03,1.360606576990804450e+00
2.099260170737000408e+03,1.342294040797966881e+00
2.099310664333500426e+03,1.356039253410370904e+00
2.099353135733000272e+03,1.359398937214069569e+00
2.099395256238999991e+03,1.377084657444372029e+00
2.099456212597499871e+03,1.368196021559473952e+00
2.099513159215500309e+03,1.329235033376218178e+00
2.099574609940999835e+03,1.310431023164413844e+00
2.099621448093000254e+03,1.287190946595259788e+00
2.099652413010499913e+03,1.297037461070534414e+00
2.099713438300000234e+03,1.291605508749057662e+00
2.099746507205999933e+03,1.289583514955449761e+00
2.099785892963499919e+03,1.298895423660715309e+00
2.099837496154500059e+03,1.295473505415775994e+00
2.099888264932000311e+03,1.314914830261534551e+00
2.099960021917499944e+03,1.318757545352011951e+00
2.100003720299499946e+03,1.301339178289376619e+00
2.100037170446500113e+03,1.283759505045859672e+00
2.100089457452999795e+03,1.292924710742131333e+00
2.100122453934999612e+03,1.272998085914758937e+00
2.100173438299999361e+03,1.262648626590475942e+00
2.100203729270999702e+03,1.242923949623924829e+00
2.100238867354499689e+03,1.210341930540397515e+00
2.100268040030000066e+03,1.222426805156727969e+00
2.100314866945499944e+03,1.236325519538122863e+00
2.100375000000000455e+03,1.220194656601935712e+00
2.100405000000000200e+03,1.222896152582020779e+00
2.100443848033500217e+03,1.209677051224141930e+00
2.100492344097500336e+03,1.219907909184528183e+00
2.100529250490000322e+03,1.232601130187533922e+00
2.100577713195000342e+03,1.220847370831065426e+00
2.100613958827500483e+03,1.192814508874079138e+00
2.100643544976000157e+03,1.178062847788499123e+00
2.100675155208999968e+03,1.182019218022250628e+00
2.100708303955499559e+03,1.190794817053841825e+00
2.100747971867499473e+03,1.174122867048698726e+00
2.100805377156500072e+03,1.135049947367804180e+00
2.100838497495499723e+03,1.119258023269422475e+00
2.100892194126000049e+03,1.120280218893533464e+00
2.100939690025500113e+03,1.129596979313578942e+00
2.100988265070000580e+03,1.137758141724356964e+00
2.101021929825000370e+03,1.152184119421614250e+00
2.101038757933000397e+03,1.151610519746886441e+00
2.101092245880000064e+03,1.144455500734949949e+00
2.101113757383499888e+03,1.138026760060802944e+00
2.101173665817500023e+03,1.122428019603478155e+00
2.101228956495499915e+03,1.104043698985393895e+00
2.101250797637500000e+03,1.099677718844982444e+00
2.101284654231499644e+03,1.077798462573391181e+00
2.101321964969999499e+03,1.073083154380364945e+00
2.101345719004999864e+03,1.063588684672564399e+00
2.101383066009999311e+03,1.070500834624718678e+00
2.101398553799499496e+03,1.067974183780542763e+00
2.101436444722499346e+03,1.077078137529590141e+00
2.101465852036500110e+03,1.082590817368405789e+00
2.101515768492000007e+03,1.082638368413893826e+00
2.101545229065000058e+03,1.071086511956323539e+00
2.101577821304999816e+03,1.036019784794826704e+00
2.101603000059000806e+03,1.041857613209107303e+00
2.101640383273500447e+03,1.028933569160256134e+00
2.101658314557000722e+03,1.013722691471441895e+00
2.101702447730000131e+03,1.023697514836449329e+00
2.101734143025000321e+03,1.005914075339864766e+00
2.101771463879000294e+03,1.000654824267986021e+00
2.101800004603500383e+03,1.001882596966318983e+00
2.101825969608999912e+03,9.932923701729701182e-01
2.101881589065999833e+03,9.705370007621131334e-01
2.101912663325499580e+03,9.728254837301112401e-01
2.101959430881499884e+03,9.744250359926939220e-01
2.102006472105999819e+03,9.774608563398153871e-01
2.102060126860999844e+03,9.504051760508157587e-01
2.102090229065000131e+03,9.562435020666215646e-01
2.102135797794499922e+03,9.572226675782274929e-01
2.102172688604000541e+03,9.523209523848495950e-01
2.102192850024000109e+03,9.647193037956555139e-01
2.102225000000000364e+03,9.601432184836008465e-01
2.102263901130999784e+03,9.655649885226952334e-01
2.102295000000000073e+03,9.795279475339543351e-01
2.102322168597999735e+03,9.681307944327567361e-01
2.102351706907499647e+03,9.715920018257750979e-01
2.102374266239000008e+03,9.849521491932261563e-01
2.102413961790999565e+03,9.938392405229693471e-01
2.102436485015999551e+03,9.966219568001234430e-01
2.102462226775999625e+03,9.847360561138226442e-01
2.102502375399999892e+03,9.970992367753768182e-01
2.102537392205999822e+03,9.897226502005109783e-01
2.102555435379999835e+03,9.955100410136948907e-01
2.102587821305000489e+03,9.975158938013751753e-01
2.102620617162000599e+03,9.965387804002825423e-01
2.102644092640500276e+03,9.914576417634720640e-01
2.102668131319000167e+03,1.009820841341680486e+00
2.102711580092500299e+03,9.997433821370206308e-01
2.102740000000000236e+03,9.966945369570706648e-01
2.102777962561499862e+03,1.012359640436358177e+00
2.102827060230999905e+03,9.944493267498468736e-01
2.102855555015999926e+03,1.015335195041380034e+00
2.102909286140999939e+03,1.003399504188625890e+00
2.102941828515500220e+03,1.002871692291299688e+00
2.102989903051499823e+03,9.946563167575357411e-01
2.103032474680000632e+03,9.940964701524384051e-01
2.103070588120500361e+03,9.933320485316222692e-01
2.103105017972000041e+03,9.912510606471613972e-01
2.103146880378000333e+03,9.886972986361832749e-01
2.103169872335500258e+03,9.970841281369540177e-01
2.103201904029500383e+03,1.003360468781761217e+00
2.103233684502500182e+03,1.018961808701512428e+00
2.103281649488999847e+03,1.006772345193831075e+00
2.103300090677999833e+03,1.010895384413009079e+00
2.103342296948999319e+03,1.026256176145092125e+00
2.103374624160999701e+03,1.029869828089222006e+00
2.103418422239999927e+03,1.045059384430647498e+00
2.103460000000000036e+03,1.059905656178963707e+00
2.103490184531000068e+03,1.069703892037711768e+00
2.103529469269999936e+03,1.085320345442119638e+00
2.103576098619000277e+03,1.096808050973777870e+00
2.103607478705500398e+03,1.111604725879125510e+00
2.103644788907000475e+03,1.124619898308527821e+00
2.103692379112500475e+03,1.136398444481066639e+00
2.103734047815000849e+03,1.140569652114074684e+00
2.103772552439000265e+03,1.155054599089377465e+00
2.103820874282499972e+03,1.178034213243396744e+00
2.103852448836500116e+03,1.164933053986152878e+00
2.103884750578500189e+03,1.170201171579322130e+00
2.103939928705999591e+03,1.174681764978051213e+00
2.103986342755500118e+03,1.152924772530897979e+00
2.104030512555500081e+03,1.186809721893994363e+00
2.104094054005500311e+03,1.197025012946218547e+00
2.104141669547000220e+03,1.169376927467665528e+00
2.104175417151499460e+03,1.173774989715996808e+00
2.104235439134000444e+03,1.165655683122461150e+00
2.104286558794000030e+03,1.184801431863703680e+00
2.104319353526999748e+03,1.201312190040255690e+00
2.104374841256500076e+03,1.199970741642135685e+00
2.104398406597000303e+03,1.201500343619861688e+00
2.104428808313500213e+03,1.205281659624424684e+00
2.104507422571499319e+03,1.204457426422542055e+00
2.104533049770000616e+03,1.204836385686211653e+00
2.104574279047499658e+03,1.212826390009345223e+00
2.104605947753499549e+03,1.207362574441603442e+00
2.104647407654500057e+03,1.210242065290620284e+00
2.104709129664500324e+03,1.230259835198970642e+00
2.104766833835500620e+03,1.247403139641209302e+00
2.104805681984500552e+03,1.248814176063580472e+00
2.104830097263999960e+03,1.244862842222764332e+00
2.104881117624500803e+03,1.237851964287619122e+00
2.104935947358500016e+03,1.257455551755121359e+00
2.104958547972500128e+03,1.273235422152052321e+00
