time,open,close,high,low,volume
1617608880000,2013.671216,2013.671216,2014.2,2012.4,0.006
1617608940000,2013.7,2014.6,2016.0221568,2013.671216,0.0
1617609000000,2016.0,2015.3,2016.8,2013.69178787,0.006
1617609060000,2016.1,2016.0,2017.0,2015.1,0.0028000000000000004
1617609120000,2016.2934192,2016.5,2017.2,2015.1020991,0.008239999999999999
1617609180000,2016.8,2016.8,2017.9,2015.3,0.01172
1617609240000,2016.98251631,2017.3,2018.9,2016.0,0.008280000000000001
1617609300000,2017.4,2017.9,2019.1,2016.1,0.01625385
1617609360000,2017.9,2018.7,2019.2,2017.2,0.008495560000000003
1617609420000,2019.1,2018.72371617,2019.3,2017.3,0.0408506
1617609480000,2019.2,2019.3,2020.1,2017.4,0.009149399999999995
1617609540000,2019.3,2020.1,2020.3,2017.9,0.04085060000000001
1617609600000,2019.55526514,2020.1,2021.2,2019.1,0.009149399999999995
1617609660000,2020.1,2020.2,2021.3,2019.55526514,0.04085060000000001
1617609720000,2020.3,2020.3,2021.39345096,2020.0,0.009149399999999995
1617609780000,2020.3,2020.6,2021.9,2020.1,0.04085060000000001
1617609840000,2020.3,2020.9,2022.0,2020.1,0.009149399999999995
1617609900000,2020.3,2021.0,2022.1,2020.2,0.04085060000000001
1617609960000,2021.1,2021.1,2022.1,2020.3,0.009149399999999995
1617610020000,2021.1634688,2021.1,2022.2,2020.3,0.04085060000000001
1617610080000,2021.39345096,2021.2,2022.4,2020.3,0.009149399999999995
1617610140000,2021.5,2021.4,2022.5,2020.3,0.04085060000000001
1617610200000,2021.8,2021.8,2022.8,2020.9,0.009149399999999995
1617610260000,2022.0,2022.1,2022.8,2021.1,0.04085060000000001
1617610320000,2022.1,2022.4,2022.9,2021.1,0.009149399999999995
1617610380000,2022.1,2022.5,2022.9,2021.1634688,0.047621050000000005
1617610440000,2022.1,2022.5324544,2022.9,2021.2,0.01697895
1617610500000,2022.2,2022.8,2022.9,2021.5,0.05240751000000001
1617610560000,2022.3,2022.9,2023.3,2021.8,0.019207249999999988
1617610620000,2022.55511717,2022.9,2023.4,2021.8,0.05678668000000001
1617610680000,2022.6,2022.9,2023.5,2022.1,0.019352489999999993
1617610740000,2022.7,2023.1,2024.069608,2022.2,0.07114751
1617610800000,2022.8,2023.2,2024.0955345,2022.3,0.028852489999999995
1617610860000,2022.9,2023.4,2024.4,2022.51677505,0.07114751000000001
1617610920000,2022.9,2023.5,2024.45373491,2022.5324544,0.028852489999999995
1617610980000,2023.10406722,2023.5,2024.5,2022.55511717,0.07114751000000001
1617611040000,2023.3,2024.0,2024.5,2022.6,0.028852489999999995
1617611100000,2023.4,2024.069608,2024.5,2022.7,0.07114751000000001
1617611160000,2023.8,2024.0955345,2024.7,2022.9,0.028852489999999995
1617611220000,2024.1,2024.1,2024.8,2023.1,0.07114751000000001
1617611280000,2024.3,2024.2,2024.8,2023.2,0.028852489999999995
1617611340000,2024.5,2024.3,2024.80042586,2023.22152565,0.07114751000000001
1617611400000,2024.7,2024.3932299,2024.9,2023.8,0.028852489999999995
1617611460000,2024.7,2024.45373491,2024.9,2023.9,0.07114751000000001
1617611520000,2024.8,2024.5,2025.1,2024.1,0.028852489999999995
1617611580000,2024.9,2024.9,2025.2,2024.1,0.07114751000000001
1617611640000,2024.9,2024.9,2025.3,2024.2,0.03217389
1617611700000,2025.1,2024.9,2025.7,2024.3,0.07662611000000001
1617611760000,2025.2,2025.0,2025.8,2024.3,0.03926771
1617611820000,2025.2,2025.1,2025.9,2024.6,0.07706429000000001
1617611880000,2025.28672783,2025.2,2025.9,2024.7,0.045533569999999995
1617611940000,2025.3,2025.2,2026.1,2024.9,0.07707724
1617612000000,2025.4,2025.3,2026.19872529,2024.9,0.04932676000000001
1617612060000,2025.4,2025.5,2026.2,2024.9,0.08193932
1617612120000,2025.4,2025.6,2026.6,2025.0,0.050332680000000005
1617612180000,2025.5,2025.6,2026.7,2025.1,0.08394882999999999
1617612240000,2025.9,2025.9,2026.9,2025.2,0.06605117
1617612300000,2026.0,2025.9,2026.9,2025.2,0.08394882999999999
1617612360000,2026.1,2025.9,2026.9,2025.2,0.06605117000000003
1617612420000,2026.1,2026.1,2026.9,2025.3,0.08394882999999999
1617612480000,2026.2,2026.19215711,2027.0,2025.37785969,0.06605117000000003
1617612540000,2026.4,2026.2,2027.1,2025.46520246,0.08394882999999999
1617612600000,2026.4,2026.3,2027.1,2025.5,0.06605117000000003
1617612660000,2026.5,2026.7,2027.2,2025.5,0.08440139999999997
1617612720000,2026.5,2026.8,2027.2,2025.8,0.06927703000000003
1617612780000,2026.66197153,2026.9,2027.4,2025.9,0.08772296999999997
1617612840000,2026.7,2026.9,2027.5,2025.9,0.07527703000000004
1617612900000,2026.8,2026.9,2027.8,2026.1,0.09177208999999996
1617612960000,2026.9,2026.9,2027.8,2026.15736328,0.08095521000000004
1617613020000,2027.1,2027.0,2027.8,2026.19215711,0.09906919999999995
1617613080000,2027.1,2027.1,2027.9,2026.2,0.08401233000000004
1617613140000,2027.2,2027.2,2027.9,2026.4,0.10347992999999998
1617613200000,2027.3,2027.3,2027.9,2026.4,0.08611198000000002
1617613260000,2027.4,2027.45003612,2027.9,2026.5,0.10423894999999998
1617613320000,2027.6,2027.5,2028.0,2026.5,0.08638079000000003
1617613380000,2027.8,2027.5,2028.2,2026.6,0.10621920999999997
